Tag,Name,Keyword,VR,VM
"(003A,0004)",Waveform Originality,Waveform​Originality,CS,1
"(003A,0205)",Channel Status,Channel​Status,CS,1-n
"(003A,0246)",Display Shading Flag,Display​Shading​Flag,CS,1
"(003A,0302)",Channel Mode,Channel​Mode,CS,1
"(003A,0316)",Impedance Measurement Current Type,Impedance​Measurement​Current​Type,CS,1
"(003A,0317)",Waveform Amplifier Type,Waveform​Amplifier​Type,CS,1
"(003A,0322)",Waveform Filter Type,Waveform​Filter​Type,CS,1
"(0040,0020)",Scheduled Procedure Step Status,Scheduled​Procedure​Step​Status,CS,1
"(0040,0033)",Universal Entity ID Type,Universal​Entity​ID​Type,CS,1
"(0040,0035)",Identifier Type Code,Identifier​Type​Code,CS,1
"(0040,0252)",Performed Procedure Step Status,Performed​Procedure​Step​Status,CS,1
"(0040,0261)",Performed Protocol Type,Performed​Protocol​Type,CS,1
"(0040,0318)",Organ Exposed,Organ​Exposed,CS,1
"(0040,4001)",General Purpose Scheduled Procedure Step Status,General​Purpose​Scheduled​Procedure​Step​Status,CS,1
"(0040,4002)",General Purpose Performed Procedure Step Status,General​Purpose​Performed​Procedure​Step​Status,CS,1
"(0040,4003)",General Purpose Scheduled Procedure Step Priority,General​Purpose​Scheduled​Procedure​Step​Priority,CS,1
"(0040,4006)",Multiple Copies Flag,Multiple​Copies​Flag,CS,1
"(0040,4020)",Input Availability Flag,Input​Availability​Flag,CS,1
"(0040,4040)",Raw Data Handling,Raw​Data​Handling,CS,1
"(0040,4041)",Input Readiness State,Input​Readiness​State,CS,1
"(0040,8303)",Entrance Dose Derivation,Entrance​Dose​Derivation,CS,1
"(0040,A007)",Findings Flag (Trial),Findings​Flag​Trial,CS,1
"(0040,A010)",Relationship Type,Relationship​Type,CS,1
"(0040,A040)",Value Type,Value​Type,CS,1
"(0040,A050)",Continuity Of Content,Continuity​Of​Content,CS,1
"(0040,A057)",Urgency or Priority Alerts (Trial),Urgency​Or​Priority​Alerts​Trial,CS,1-n
"(0040,A080)",Participation Type,Participation​Type,CS,1
"(0040,A084)",Observer Type,Observer​Type,CS,1
"(0040,A125)",Report Status ID (Trial),Report​Status​ID​Trial,CS,2
"(0040,A130)",Temporal Range Type,Temporal​Range​Type,CS,1
"(0040,A173)",Referenced Observation Class (Trial),Referenced​Observation​Class​Trial,CS,1
"(0040,A174)",Referenced Object Observation Class (Trial),Referenced​Object​Observation​Class​Trial,CS,1
"(0040,A194)",Measurement Automation (Trial),Measurement​Automation​Trial,CS,1
"(0040,A290)",Coordinates Set Geometric Type (Trial),Coordinates​Set​Geometric​Type​Trial,CS,1
"(0040,A403)",Observation Subject Class (Trial),Observation​Subject​Class​Trial,CS,1
"(0040,A491)",Completion Flag,Completion​Flag,CS,1
"(0040,A493)",Verification Flag,Verification​Flag,CS,1
"(0040,A494)",Archive Requested,Archive​Requested,CS,1
"(0040,A496)",Preliminary Flag,Preliminary​Flag,CS,1
"(0040,A600)",Observation Subject Context Flag (Trial),Observation​Subject​Context​Flag​Trial,CS,1
"(0040,A601)",Observer Context Flag (Trial),Observer​Context​Flag​Trial,CS,1
"(0040,A603)",Procedure Context Flag (Trial),Procedure​Context​Flag​Trial,CS,1
"(0040,DB00)",Template Identifier,Template​Identifier,CS,1
"(0040,DB0B)",Template Extension Flag,Template​Extension​Flag,CS,1
"(0040,E020)",Type of Instances,Type​Of​Instances,CS,1
"(0044,0002)",Substance Administration Approval,Substance​Administration​Approval,CS,1
"(0046,0032)",Horizontal Prism Base,Horizontal​Prism​Base,CS,1
"(0046,0036)",Vertical Prism Base,Vertical​Prism​Base,CS,1
"(0046,0038)",Lens Segment Type,Lens​Segment​Type,CS,1
"(0046,0092)",Background Color,Background​Color,CS,1
"(0046,0094)",Optotype,Optotype,CS,1
"(0046,0095)",Optotype Presentation,Optotype​Presentation,CS,1
"(0046,0125)",Viewing Distance Type,Viewing​Distance​Type,CS,1
"(0046,0201)",Corneal Topography Surface,Corneal​Topography​Surface,CS,1
"(0046,0242)",Corneal Topography Map Quality Evaluation,Corneal​Topography​Map​Quality​Evaluation,CS,1
"(0046,0248)",Corneal Point Estimated,Corneal​Point​Estimated,CS,1
"(0048,0010)",Specimen Label in Image,Specimen​Label​In​Image,CS,1
"(0048,0011)",Focus Method,Focus​Method,CS,1
"(0048,0012)",Extended Depth of Field,Extended​Depth​Of​Field,CS,1
"(0048,0114)",Confocal Mode,Confocal​Mode,CS,1
"(0048,0115)",Tissue Location,Tissue​Location,CS,1
"(0048,0301)",Pixel Origin Interpretation,Pixel​Origin​Interpretation,CS,1
"(0050,0004)",Calibration Image,Calibration​Image,CS,1
"(0050,0017)",Device Diameter Units,Device​Diameter​Units,CS,1
"(0050,001A)",Container Component Material,Container​Component​Material,CS,1
"(0052,0006)",OCT Acquisition Domain,OCT​Acquisition​Domain,CS,1
"(0052,0026)",OCT Z Offset Applied,OCTZ​Offset​Applied,CS,1
"(0052,0031)",Catheter Direction of Rotation,Catheter​Direction​Of​Rotation,CS,1
"(0052,0039)",Interpolation Type,Interpolation​Type,CS,1
"(0052,003A)",Refractive Index Applied,Refractive​Index​Applied,CS,1
"(0054,0039)",Phase Description,Phase​Description,CS,1
"(0054,0202)",Type of Detector Motion,Type​Of​Detector​Motion,CS,1
"(0054,0500)",Slice Progression Direction,Slice​Progression​Direction,CS,1
"(0054,0501)",Scan Progression Direction,Scan​Progression​Direction,CS,1
"(0054,1000)",Series Type,Series​Type,CS,2
"(0054,1001)",Units,Units,CS,1
"(0054,1002)",Counts Source,Counts​Source,CS,1
"(0054,1004)",Reprojection Method,Reprojection​Method,CS,1
"(0054,1006)",SUV Type,SUV​Type,CS,1
"(0054,1100)",Randoms Correction Method,Randoms​Correction​Method,CS,1
"(0054,1102)",Decay Correction,Decay​Correction,CS,1
"(0054,1220)",Secondary Counts Type,Secondary​Counts​Type,CS,1-n
"(0054,1400)",Counts Included,Counts​Included,CS,1-n
"(0054,1401)",Dead Time Correction Flag,Dead​Time​Correction​Flag,CS,1
"(0062,0001)",Segmentation Type,Segmentation​Type,CS,1
"(0062,0008)",Segment Algorithm Type,Segment​Algorithm​Type,CS,1
"(0062,0010)",Segmentation Fractional Type,Segmentation​Fractional​Type,CS,1
"(0062,0013)",Segments Overlap,Segments​Overlap,CS,1
"(0066,0009)",Surface Processing,Surface​Processing,CS,1
"(0066,000D)",Recommended Presentation Type,Recommended​Presentation​Type,CS,1
"(0066,000E)",Finite Volume,Finite​Volume,CS,1
"(0066,0010)",Manifold,Manifold,CS,1
"(0068,6223)",Implant Type,Implant​Type,CS,1
"(0068,6420)",Degree of Freedom Type,Degree​Of​Freedom​Type,CS,1
"(0068,7001)",Model Modification,Model​Modification,CS,1
"(0068,7002)",Model Mirroring,Model​Mirroring,CS,1
"(006A,0001)",Annotation Coordinate Type,Annotation​Coordinate​Type,CS,1
"(006A,0007)",Annotation Group Generation Type,Annotation​Group​Generation​Type,CS,1
"(006A,000D)",Annotation Applies to All Optical Paths,Annotation​Applies​To​All​Optical​Paths,CS,1
"(006A,000F)",Annotation Applies to All Z Planes,Annotation​Applies​To​All​Z​Planes,CS,1
"(0070,0002)",Graphic Layer,Graphic​Layer,CS,1
"(0070,0003)",Bounding Box Annotation Units,Bounding​Box​Annotation​Units,CS,1
"(0070,0004)",Anchor Point Annotation Units,Anchor​Point​Annotation​Units,CS,1
"(0070,0005)",Graphic Annotation Units,Graphic​Annotation​Units,CS,1
"(0070,0012)",Bounding Box Text Horizontal Justification,Bounding​Box​Text​Horizontal​Justification,CS,1
"(0070,0015)",Anchor Point Visibility,Anchor​Point​Visibility,CS,1
"(0070,0023)",Graphic Type,Graphic​Type,CS,1
"(0070,0024)",Graphic Filled,Graphic​Filled,CS,1
"(0070,0041)",Image Horizontal Flip,Image​Horizontal​Flip,CS,1
"(0070,0080)",Content Label,Content​Label,CS,1
"(0070,0100)",Presentation Size Mode,Presentation​Size​Mode,CS,1
"(0070,0228)",Font Name Type,Font​Name​Type,CS,1
"(0070,0242)",Horizontal Alignment,Horizontal​Alignment,CS,1
"(0070,0243)",Vertical Alignment,Vertical​Alignment,CS,1
"(0070,0244)",Shadow Style,Shadow​Style,CS,1
"(0070,0248)",Underlined,Underlined,CS,1
"(0070,0249)",Bold,Bold,CS,1
"(0070,0250)",Italic,Italic,CS,1
"(0070,0254)",Line Dashing Style,Line​Dashing​Style,CS,1
"(0070,0257)",Fill Mode,Fill​Mode,CS,1
"(0070,0274)",Tick Alignment,Tick​Alignment,CS,1
"(0070,0278)",Show Tick Label,Show​Tick​Label,CS,1
"(0070,0279)",Tick Label Alignment,Tick​Label​Alignment,CS,1
"(0070,0282)",Compound Graphic Units,Compound​Graphic​Units,CS,1
"(0070,0294)",Compound Graphic Type,Compound​Graphic​Type,CS,1
"(0070,0306)",Shape Type,Shape​Type,CS,1
"(0070,030C)",Frame of Reference Transformation Matrix Type,Frame​Of​Reference​Transformation​Matrix​Type,CS,1
"(0070,0405)",Blending Position,Blending​Position,CS,1
"(0070,1202)",Presentation Input Type,Presentation​Input​Type,CS,1
"(0070,1204)",Crop,Crop,CS,1
"(0070,1206)",Compositing Method,Compositing​Method,CS,1
"(0070,1208)",Image Volume Geometry,Image​Volume​Geometry,CS,1
"(0070,120B)",Global Crop,Global​Crop,CS,1
"(0070,120D)",Rendering Method,Rendering​Method,CS,1
"(0070,1302)",Volume Cropping Method,Volume​Cropping​Method,CS,1
"(0070,1501)",Multi-Planar Reconstruction Style,Multi​Planar​Reconstruction​Style,CS,1
"(0070,1502)",MPR Thickness Type,MPRThickness​Type,CS,1
"(0070,1602)",Render Projection,Render​Projection,CS,1
"(0070,1701)",Shading Style,Shading​Style,CS,1
"(0070,1802)",Component Type,Component​Type,CS,1
"(0070,1907)",Annotation Clipping,Annotation​Clipping,CS,1
"(0070,1A01)",Presentation Animation Style,Presentation​Animation​Style,CS,1
"(0070,1B06)",Blending Mode,Blending​Mode,CS,1
"(0070,1B07)",Time Series Blending,Time​Series​Blending,CS,1
"(0070,1B08)",Geometry for Display,Geometry​For​Display,CS,1
"(0070,1B13)",Threshold Type,Threshold​Type,CS,1
"(0072,0006)",Hanging Protocol Level,Hanging​Protocol​Level,CS,1
"(0072,0024)",Image Set Selector Usage Flag,Image​Set​Selector​Usage​Flag,CS,1
"(0072,0034)",Image Set Selector Category,Image​Set​Selector​Category,CS,1
"(0072,003A)",Relative Time Units,Relative​Time​Units,CS,1
"(0072,0050)",Selector Attribute VR,Selector​Attribute​VR,CS,1
"(0072,0062)",Selector CS Value,Selector​CS​Value,CS,1-n
"(0072,0208)",Partial Data Display Handling,Partial​Data​Display​Handling,CS,1
"(0072,0304)",Image Box Layout Type,Image​Box​Layout​Type,CS,1
"(0072,0310)",Image Box Scroll Direction,Image​Box​Scroll​Direction,CS,1
"(0072,0312)",Image Box Small Scroll Type,Image​Box​Small​Scroll​Type,CS,1
"(0072,0316)",Image Box Large Scroll Type,Image​Box​Large​Scroll​Type,CS,1
"(0072,0402)",Filter-by Category,Filter​By​Category,CS,1
"(0072,0404)",Filter-by Attribute Presence,Filter​By​Attribute​Presence,CS,1
"(0072,0406)",Filter-by Operator,Filter​By​Operator,CS,1
"(0072,0434)",Type of Synchronization,Type​Of​Synchronization,CS,1
"(0072,0500)",Blending Operation Type,Blending​Operation​Type,CS,1
"(0072,0510)",Reformatting Operation Type,Reformatting​Operation​Type,CS,1
"(0072,0516)",Reformatting Operation Initial View Direction,Reformatting​Operation​Initial​View​Direction,CS,1
"(0072,0520)",3D Rendering Type,Three​D​Rendering​Type,CS,1-n
"(0072,0602)",Sort-by Category,Sort​By​Category,CS,1
"(0072,0604)",Sorting Direction,Sorting​Direction,CS,1
"(0072,0700)",Display Set Patient Orientation,Display​Set​Patient​Orientation,CS,2
"(0072,0702)",VOI Type,VOI​Type,CS,1
"(0072,0704)",Pseudo-Color Type,Pseudo​Color​Type,CS,1
"(0072,0706)",Show Grayscale Inverted,Show​Grayscale​Inverted,CS,1
"(0072,0710)",Show Image True Size Flag,Show​Image​True​Size​Flag,CS,1
"(0072,0712)",Show Graphic Annotation Flag,Show​Graphic​Annotation​Flag,CS,1
"(0072,0714)",Show Patient Demographics Flag,Show​Patient​Demographics​Flag,CS,1
"(0072,0716)",Show Acquisition Techniques Flag,Show​Acquisition​Techniques​Flag,CS,1
"(0072,0717)",Display Set Horizontal Justification,Display​Set​Horizontal​Justification,CS,1
"(0072,0718)",Display Set Vertical Justification,Display​Set​Vertical​Justification,CS,1
"(0074,1000)",Procedure Step State,Procedure​Step​State,CS,1
"(0074,1022)",Beam Task Type,Beam​Task​Type,CS,1
"(0074,1025)",Autosequence Flag,Autosequence​Flag,CS,1
"(0074,1032)",Verification Image Timing,Verification​Image​Timing,CS,1
"(0074,1034)",Double Exposure Flag,Double​Exposure​Flag,CS,1
"(0074,1036)",Double Exposure Ordering,Double​Exposure​Ordering,CS,1
"(0074,1200)",Scheduled Procedure Step Priority,Scheduled​Procedure​Step​Priority,CS,1
"(0074,1242)",SCP Status,SCP​Status,CS,1
"(0074,1244)",Subscription List Status,Subscription​List​Status,CS,1
"(0074,1246)",Unified Procedure Step List Status,Unified​Procedure​Step​List​Status,CS,1
"(0074,140A)",Reason for Channel Omission,Reason​For​Channel​Omission,CS,1
"(0076,000A)",Implant Assembly Template Type,Implant​Assembly​Template​Type,CS,1
"(0076,0036)",Exclusive Component Type,Exclusive​Component​Type,CS,1
"(0076,0038)",Mandatory Component Type,Mandatory​Component​Type,CS,1
"(0082,0001)",Assessment Summary,Assessment​Summary,CS,1
"(0082,0008)",Observation Significance,Observation​Significance,CS,1
"(0082,0032)",Constraint Type,Constraint​Type,CS,1
"(0082,0036)",Constraint Violation Significance,Constraint​Violation​Significance,CS,1
"(0082,0038)",Modifiable Constraint Flag,Modifiable​Constraint​Flag,CS,1
"(0100,0410)",SOP Instance Status,SOP​Instance​Status,CS,1
"(0400,0015)",MAC Algorithm,MAC​Algorithm,CS,1
"(0400,0110)",Certificate Type,Certificate​Type,CS,1
"(0400,0305)",Certified Timestamp Type,Certified​Timestamp​Type,CS,1
"(0400,0565)",Reason for the Attribute Modification,Reason​For​The​Attribute​Modification,CS,1
"(0400,0600)",Instance Origin Status,Instance​Origin​Status,CS,1
"(2000,0020)",Print Priority,Print​Priority,CS,1
"(2000,0030)",Medium Type,Medium​Type,CS,1
"(2000,0040)",Film Destination,Film​Destination,CS,1
"(2000,0062)",Color Image Printing Flag,Color​Image​Printing​Flag,CS,1
"(2000,0063)",Collation Flag,Collation​Flag,CS,1
"(2000,0065)",Annotation Flag,Annotation​Flag,CS,1
"(2000,0067)",Image Overlay Flag,Image​Overlay​Flag,CS,1
"(2000,0069)",Presentation LUT Flag,Presentation​LUT​Flag,CS,1
"(2000,006A)",Image Box Presentation LUT Flag,Image​Box​Presentation​LUT​Flag,CS,1
"(2010,0030)",Annotation Display Format ID,Annotation​Display​Format​ID,CS,1
"(2010,0040)",Film Orientation,Film​Orientation,CS,1
"(2010,0050)",Film Size ID,Film​Size​ID,CS,1
"(2010,0052)",Printer Resolution ID,Printer​Resolution​ID,CS,1
"(2010,0054)",Default Printer Resolution ID,Default​Printer​Resolution​ID,CS,1
"(2010,0060)",Magnification Type,Magnification​Type,CS,1
"(2010,0080)",Smoothing Type,Smoothing​Type,CS,1
"(2010,00A6)",Default Magnification Type,Default​Magnification​Type,CS,1
"(2010,00A7)",Other Magnification Types Available,Other​Magnification​Types​Available,CS,1-n
"(2010,00A8)",Default Smoothing Type,Default​Smoothing​Type,CS,1
"(2010,00A9)",Other Smoothing Types Available,Other​Smoothing​Types​Available,CS,1-n
"(2010,0100)",Border Density,Border​Density,CS,1
"(2010,0110)",Empty Image Density,Empty​Image​Density,CS,1
"(2010,0140)",Trim,Trim,CS,1
"(2020,0020)",Polarity,Polarity,CS,1
"(2020,0040)",Requested Decimate/Crop Behavior,Requested​Decimate​Crop​Behavior,CS,1
"(2020,0050)",Requested Resolution ID,Requested​Resolution​ID,CS,1
"(2020,00A0)",Requested Image Size Flag,Requested​Image​Size​Flag,CS,1
"(2020,00A2)",Decimate/Crop Result,Decimate​Crop​Result,CS,1
"(2040,0060)",Overlay Magnification Type,Overlay​Magnification​Type,CS,1
"(2040,0070)",Overlay Smoothing Type,Overlay​Smoothing​Type,CS,1
"(2040,0072)",Overlay or Image Magnification,Overlay​Or​Image​Magnification,CS,1
"(2040,0080)",Overlay Foreground Density,Overlay​Foreground​Density,CS,1
"(2040,0082)",Overlay Background Density,Overlay​Background​Density,CS,1
"(2040,0090)",Overlay Mode,Overlay​Mode,CS,1
"(2040,0100)",Threshold Density,Threshold​Density,CS,1
"(2050,0020)",Presentation LUT Shape,Presentation​LUT​Shape,CS,1
"(2100,0020)",Execution Status,Execution​Status,CS,1
"(2100,0030)",Execution Status Info,Execution​Status​Info,CS,1
"(2110,0010)",Printer Status,Printer​Status,CS,1
"(2110,0020)",Printer Status Info,Printer​Status​Info,CS,1
"(2120,0010)",Queue Status,Queue​Status,CS,1
"(2200,0001)",Label Using Information Extracted From Instances,Label​Using​Information​Extracted​From​Instances,CS,1
"(2200,0003)",Label Style Selection,Label​Style​Selection,CS,1
"(2200,0006)",Barcode Symbology,Barcode​Symbology,CS,1
"(2200,0007)",Allow Media Splitting,Allow​Media​Splitting,CS,1
"(2200,0008)",Include Non-DICOM Objects,Include​Non​DICOM​Objects,CS,1
"(2200,0009)",Include Display Application,Include​Display​Application,CS,1
"(2200,000A)",Preserve Composite Instances After Media Creation,Preserve​Composite​Instances​After​Media​Creation,CS,1
"(2200,000F)",Allow Lossy Compression,Allow​Lossy​Compression,CS,1
"(2200,0020)",Request Priority,Request​Priority,CS,1
"(3002,000A)",Reported Values Origin,Reported​Values​Origin,CS,1
"(3002,000C)",RT Image Plane,RT​Image​Plane,CS,1
"(3002,0041)",Fluence Data Source,Fluence​Data​Source,CS,1
"(3002,0051)",Fluence Mode,Fluence​Mode,CS,1
"(3002,0105)",Beam Modifier Coordinates Presence Flag,BeamModifierCoordinatesPresenceFlag,CS,1
"(3002,0111)",Imaging Source Location Specification Type,Imaging​Source​Location​Specification​Type,CS,1
"(3002,0115)",Imaging Aperture Specification Type,Imaging​Aperture​Specification​Type,CS,1
"(3002,0129)",Acquisition Signal Type,Acquisition​Signal​Type,CS,1
"(3002,012A)",Acquisition Method,Acquisition​Method,CS,1
"(3002,012E)",Scan Arc Type,Scan​Arc​Type,CS,1
"(3002,012F)",Detector Positioning Type,Detector​Positioning​Type,CS,1
"(3004,0001)",DVH Type,DVH​Type,CS,1
"(3004,0002)",Dose Units,Dose​Units,CS,1
"(3004,0004)",Dose Type,Dose​Type,CS,1
"(3004,0005)",Spatial Transform of Dose,Spatial​Transform​Of​Dose,CS,1
"(3004,000A)",Dose Summation Type,Dose​Summation​Type,CS,1
"(3004,0014)",Tissue Heterogeneity Correction,Tissue​Heterogeneity​Correction,CS,1-3
"(3004,0054)",DVH Volume Units,DVH​Volume​Units,CS,1
"(3004,0062)",DVH ROI Contribution Type,DVHROI​Contribution​Type,CS,1
"(3006,0033)",RT ROI Relationship,RTROI​Relationship,CS,1
"(3006,0036)",ROI Generation Algorithm,ROI​Generation​Algorithm,CS,1
"(3006,0042)",Contour Geometric Type,Contour​Geometric​Type,CS,1
"(3006,00A4)",RT ROI Interpreted Type,RTROI​Interpreted​Type,CS,1
"(3006,00B2)",ROI Physical Property,ROI​Physical​Property,CS,1
"(3006,00C4)",Frame of Reference Transformation Type,Frame​Of​Reference​Transformation​Type,CS,1
"(3008,0014)",Measured Dose Type,Measured​Dose​Type,CS,1
"(3008,002A)",Treatment Termination Status,Treatment​Termination​Status,CS,1
"(3008,002C)",Treatment Verification Status,Treatment​Verification​Status,CS,1
"(3008,00A3)",Enhanced RT Beam Limiting Device Definition Flag,Enhanced​RT​Beam​Limiting​Device​Definition​Flag,CS,1
"(3008,0116)",Application Setup Check,Application​Setup​Check,CS,1
"(3008,0200)",Current Treatment Status,Current​Treatment​Status,CS,1
"(3008,0224)",Fraction Group Type,Fraction​Group​Type,CS,1
"(3008,0230)",Beam Stopper Position,Beam​Stopper​Position,CS,1
"(300A,000A)",Plan Intent,Plan​Intent,CS,1
"(300A,000C)",RT Plan Geometry,RT​Plan​Geometry,CS,1
"(300A,0014)",Dose Reference Structure Type,Dose​Reference​Structure​Type,CS,1
"(300A,0015)",Nominal Beam Energy Unit,Nominal​Beam​Energy​Unit,CS,1
"(300A,0020)",Dose Reference Type,Dose​Reference​Type,CS,1
"(300A,0055)",RT Plan Relationship,RT​Plan​Relationship,CS,1
"(300A,008B)",Beam Dose Meaning,Beam​Dose​Meaning,CS,1
"(300A,0090)",Beam Dose Type,Beam​Dose​Type,CS,1
"(300A,0092)",Alternate Beam Dose Type,Alternate​Beam​Dose​Type,CS,1
"(300A,0093)",Depth Value Averaging Flag,Depth​Value​Averaging​Flag,CS,1
"(300A,00B3)",Primary Dosimeter Unit,Primary​Dosimeter​Unit,CS,1
"(300A,00B8)",RT Beam Limiting Device Type,RT​Beam​Limiting​Device​Type,CS,1
"(300A,00C4)",Beam Type,Beam​Type,CS,1
"(300A,00C6)",Radiation Type,Radiation​Type,CS,1
"(300A,00C7)",High-Dose Technique Type,High​Dose​Technique​Type,CS,1
"(300A,00CE)",Treatment Delivery Type,Treatment​Delivery​Type,CS,1
"(300A,00D3)",Wedge Type,Wedge​Type,CS,1
"(300A,00EE)",Compensator Type,Compensator​Type,CS,1
"(300A,00F8)",Block Type,Block​Type,CS,1
"(300A,00FA)",Block Divergence,Block​Divergence,CS,1
"(300A,00FB)",Block Mounting Position,Block​Mounting​Position,CS,1
"(300A,0109)",Applicator Type,Applicator​Type,CS,1
"(300A,0118)",Wedge Position,Wedge​Position,CS,1
"(300A,011F)",Gantry Rotation Direction,Gantry​Rotation​Direction,CS,1
"(300A,0121)",Beam Limiting Device Rotation Direction,Beam​Limiting​Device​Rotation​Direction,CS,1
"(300A,0123)",Patient Support Rotation Direction,Patient​Support​Rotation​Direction,CS,1
"(300A,0126)",Table Top Eccentric Rotation Direction,Table​Top​Eccentric​Rotation​Direction,CS,1
"(300A,0142)",Table Top Pitch Rotation Direction,Table​Top​Pitch​Rotation​Direction,CS,1
"(300A,0146)",Table Top Roll Rotation Direction,Table​Top​Roll​Rotation​Direction,CS,1
"(300A,014C)",Gantry Pitch Rotation Direction,Gantry​Pitch​Rotation​Direction,CS,1
"(300A,0150)",Fixation Eye,Fixation​Eye,CS,1
"(300A,0192)",Fixation Device Type,Fixation​Device​Type,CS,1
"(300A,01A2)",Shielding Device Type,Shielding​Device​Type,CS,1
"(300A,01B0)",Setup Technique,Setup​Technique,CS,1
"(300A,01B6)",Setup Device Type,Setup​Device​Type,CS,1
"(300A,0200)",Brachy Treatment Technique,Brachy​Treatment​Technique,CS,1
"(300A,0202)",Brachy Treatment Type,Brachy​Treatment​Type,CS,1
"(300A,0214)",Source Type,Source​Type,CS,1
"(300A,0229)",Source Strength Units,Source​Strength​Units,CS,1
"(300A,0232)",Application Setup Type,Application​Setup​Type,CS,1
"(300A,0264)",Brachy Accessory Device Type,Brachy​Accessory​Device​Type,CS,1
"(300A,0288)",Source Movement Type,Source​Movement​Type,CS,1
"(300A,0292)",Source Applicator Type,Source​Applicator​Type,CS,1
"(300A,02E0)",Compensator Divergence,Compensator​Divergence,CS,1
"(300A,02E1)",Compensator Mounting Position,Compensator​Mounting​Position,CS,1
"(300A,0308)",Scan Mode,Scan​Mode,CS,1
"(300A,0309)",Modulated Scan Mode Type,Modulated​Scan​Mode​Type,CS,1
"(300A,0320)",Range Shifter Type,Range​Shifter​Type,CS,1
"(300A,0338)",Lateral Spreading Device Type,Lateral​Spreading​Device​Type,CS,1
"(300A,0348)",Range Modulator Type,Range​Modulator​Type,CS,1
"(300A,0350)",Patient Support Type,Patient​Support​Type,CS,1
"(300A,0393)",Scan Spot Reordered,Scan​Spot​Reordered,CS,1
"(300A,0395)",Scan Spot Reordering Allowed,Scan​Spot​Reordering​Allowed,CS,1
"(300A,0423)",General Accessory Type,General​Accessory​Type,CS,1
"(300A,0432)",Applicator Aperture Shape,Applicator​Aperture​Shape,CS,1
"(300A,0451)",Device Motion Execution Mode,Device​Motion​Execution​Mode,CS,1
"(300A,0452)",Device Motion Observation Mode,Device​Motion​Observation​Mode,CS,1
"(300A,0511)",Delivered Reference Dose Definition,Delivered​Reference​Dose​Definition,CS,1
"(300A,0512)",Reference Dose Definition,Reference​Dose​Definition,CS,1
"(300A,060F)",RT Accessory Holder Slot Existence Flag,RTAccessory​Holder​Slot​Existence​Flag,CS,1
"(300A,061A)",Reference Dose Type,Reference​Dose​Type,CS,1
"(300A,061B)",Primary Dose Value Indicator,Primary​Dose​Value​Indicator,CS,1
"(300A,061D)",Dose Value Purpose,Dose​Value​Purpose,CS,1-n
"(300A,0637)",RT Radiation Set Intent,RTRadiation​Set​Intent,CS,1
"(300A,0638)",RT Radiation Physical and Geometric Content Detail Flag,RTRadiation​Physical​And​Geometric​Content​Detail​Flag,CS,1
"(300A,0639)",RT Record Flag,RTRecord​Flag,CS,1
"(300A,064E)",Parallel RT Beam Delimiter Opening Mode,Parallel​RTBeam​Delimiter​Opening​Mode,CS,1
"(300A,064F)",Parallel RT Beam Delimiter Leaf Mounting Side,Parallel​RTBeam​Delimiter​Leaf​Mounting​Side,CS,1-n
"(300A,065C)",Patient Support Position Specification Method,Patient​Support​Position​Specification​Method,CS,1
"(300A,0663)",Compensator Map Orientation,Compensator​Map​Orientation,CS,1
"(300A,066C)",Block Orientation,Block​Orientation,CS,1
"(300A,068B)",Dose Value Interpretation,Dose​Value​Interpretation,CS,1
"(300A,0701)",RT Radiation Usage,RT​Radiation​Usage,CS,1
"(300A,0706)",RT Treatment Fraction Completion Status,RT​Treatment​Fraction​Completion​Status,CS,1
"(300A,0707)",RT Radiation Set Usage,RT​Radiation​Set​Usage,CS,1
"(300A,0708)",Treatment Delivery Continuation Flag,Treatment​Delivery​Continuation​Flag,CS,1
"(300A,0709)",Treatment Record Content Origin,Treatment​Record​Content​Origin,CS,1
"(300A,0714)",RT Treatment Termination Status,RT​Treatment​Termination​Status,CS,1
"(300A,0723)",Starting Meterset Value Known Flag,Starting​Meterset​ValueK​nown​Flag,CS,1
"(300A,0732)",Treatment Tolerance Violation Category,Treatment​Tolerance​Violation​Category,CS,1
"(300A,079E)",RT Radiation Set Delivery Usage,RT​Radiation​Set​Delivery​Usage,CS,1
"(300C,0112)",Reason for Omission,Reason​For​Omission,CS,1
"(300C,0123)",Dose Calibration Conditions Verified Flag,Dose​Calibration​Conditions​Verified​Flag,CS,1
"(300C,0126)",Beam Hold Transition,Beam​Hold​Transition,CS,1
"(300C,0129)",Beam Hold Transition Trigger Source,Beam​Hold​Transition​Trigger​Source,CS,1
"(300E,0002)",Approval Status,Approval​Status,CS,1
"(3010,0002)",Radiobiological Dose Effect Flag,Radiobiological​Dose​Effect​Flag,CS,1
"(3010,000E)",Conceptual Volume Combination Flag,Conceptual​Volume​Combination​Flag,CS,1
"(3010,0010)",Conceptual Volume Segmentation Defined Flag,Conceptual​Volume​Segmentation​Defined​Flag,CS,1
"(3010,001C)",Device Alternate Identifier Type,Device​Alternate​Identifier​Type,CS,1
"(3010,0045)",RT Treatment Phase Intent Presence Flag,RTTreatment​Phase​Intent​Presence​Flag,CS,1
"(3010,0046)",Radiotherapy Treatment Type,Radiotherapy​Treatment​Type,CS,1
"(3010,0047)",Teletherapy Radiation Type,Teletherapy​Radiation​Type,CS,1-n
"(3010,0048)",Brachytherapy Source Type,Brachytherapy​Source​Type,CS,1-n
"(3010,004F)",Temporal Relationship Interval Anchor,Temporal​Relationship​Interval​Anchor,CS,1
